"Unit Type:","PicoCount 2500 V2.41"
"Serial Number:","24071598"
"ID:",""
"Location:","6218 38th Ave N"
"Comments:",""
"Dwell:","90 ms"
"Measurements:","English"
"Start Date:","08/19/2025"
"Start Time:","00:00"
"Export Version:","Class V1.03"
"Scheme:","FHWA"
"Scheme ID:","1"
"Interval:","60 Min"
"Title:","Eastbound Classes"
"Date/Time","Class #1","Class #2","Class #3","Class #4","Class #5","Class #6","Class #7","Class #8","Class #9","Class #10","Class #11","Class #12","Class #13","Total"
08/20/2025 17:00 - 17:59,0,22,1,0,1,0,0,0,0,0,0,0,0,24
08/20/2025 18:00 - 18:59,0,13,2,0,1,0,0,0,0,0,0,0,0,16
08/20/2025 19:00 - 19:59,0,12,0,0,0,0,0,0,0,0,0,0,0,12
08/20/2025 20:00 - 20:59,0,16,3,0,0,0,0,0,0,0,0,0,0,19
08/20/2025 21:00 - 21:59,0,5,1,0,1,0,0,0,0,0,0,0,0,7
08/20/2025 22:00 - 22:59,0,6,0,0,0,0,0,0,0,0,0,0,0,6
08/20/2025 23:00 - 23:59,0,1,0,0,0,0,0,0,0,0,0,0,0,1
08/21/2025 00:00 - 00:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/21/2025 01:00 - 01:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/21/2025 02:00 - 02:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/21/2025 03:00 - 03:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/21/2025 04:00 - 04:59,0,1,0,0,0,0,0,0,0,0,0,0,0,1
08/21/2025 05:00 - 05:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/21/2025 06:00 - 06:59,0,5,1,0,1,0,0,0,0,0,0,0,0,7
08/21/2025 07:00 - 07:59,0,3,0,0,0,0,0,0,0,0,0,0,0,3
08/21/2025 08:00 - 08:59,0,10,0,0,1,0,0,0,0,0,0,0,0,11
08/21/2025 09:00 - 09:59,0,4,1,0,1,1,0,0,0,0,0,0,0,7
08/21/2025 10:00 - 10:59,0,10,0,0,2,0,0,0,0,0,0,0,0,12
08/21/2025 11:00 - 11:59,1,12,1,0,0,0,0,0,0,0,0,0,0,14
08/21/2025 12:00 - 12:59,0,15,0,0,0,0,1,0,0,0,0,0,0,16
08/21/2025 13:00 - 13:59,0,13,1,0,2,0,0,0,0,0,0,0,0,16
08/21/2025 14:00 - 14:59,1,17,1,0,1,0,0,1,0,0,0,0,0,21
08/21/2025 15:00 - 15:59,0,20,1,0,1,0,0,0,0,0,0,0,0,22
08/21/2025 16:00 - 16:59,0,15,7,0,0,0,0,0,0,0,0,0,0,22
08/21/2025 17:00 - 17:59,0,25,3,0,1,0,0,0,0,0,0,0,0,29
08/21/2025 18:00 - 18:59,0,12,3,0,1,0,0,0,0,0,0,0,0,16
08/21/2025 19:00 - 19:59,0,21,2,0,1,0,0,0,0,0,0,0,0,24
08/21/2025 20:00 - 20:59,0,14,0,0,1,0,1,0,0,0,0,0,0,16
08/21/2025 21:00 - 21:59,1,9,1,0,0,0,0,0,0,0,0,0,0,11
08/21/2025 22:00 - 22:59,0,6,0,0,0,0,0,0,0,0,0,0,0,6
08/21/2025 23:00 - 23:59,0,0,1,0,0,0,0,1,0,0,0,0,0,2
08/22/2025 00:00 - 00:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/22/2025 01:00 - 01:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/22/2025 02:00 - 02:59,0,2,0,0,0,0,0,0,0,0,0,0,0,2
08/22/2025 03:00 - 03:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/22/2025 04:00 - 04:59,0,1,0,0,0,0,0,0,0,0,0,0,0,1
08/22/2025 05:00 - 05:59,0,3,0,0,0,0,0,0,0,0,0,0,0,3
08/22/2025 06:00 - 06:59,0,5,0,0,0,0,0,0,0,0,0,0,0,5
08/22/2025 07:00 - 07:59,0,6,1,0,0,0,0,0,0,0,0,0,0,7
08/22/2025 08:00 - 08:59,0,9,0,0,0,0,0,0,0,0,0,0,0,9
08/22/2025 09:00 - 09:59,0,13,1,0,1,1,0,0,0,0,0,0,0,16
08/22/2025 10:00 - 10:59,0,11,3,0,0,0,0,0,0,0,0,0,0,14
08/22/2025 11:00 - 11:59,0,10,0,0,2,0,0,0,0,0,0,0,0,12
08/22/2025 12:00 - 12:59,1,13,0,0,1,0,0,0,0,0,0,0,0,15
08/22/2025 13:00 - 13:59,0,16,2,0,1,0,0,0,0,0,0,0,0,19
08/22/2025 14:00 - 14:59,0,17,2,0,1,0,0,0,0,0,0,0,0,20
08/22/2025 15:00 - 15:59,0,13,0,0,1,0,0,0,0,0,0,0,0,14
08/22/2025 16:00 - 16:59,0,14,1,0,1,0,0,0,0,0,0,0,0,16
08/22/2025 17:00 - 17:59,1,11,3,0,1,0,0,0,0,0,0,0,0,16
08/22/2025 18:00 - 18:59,0,18,2,0,2,0,0,0,0,0,0,0,0,22
08/22/2025 19:00 - 19:59,0,12,0,0,0,0,0,0,0,0,0,0,0,12
08/22/2025 20:00 - 20:59,0,12,0,0,1,0,0,0,0,0,0,0,0,13
08/22/2025 21:00 - 21:59,0,2,0,0,0,0,0,0,0,0,0,0,0,2
08/22/2025 22:00 - 22:59,0,9,0,0,0,0,0,0,0,0,0,0,0,9
08/22/2025 23:00 - 23:59,0,2,2,0,0,0,0,0,0,0,0,0,0,4
08/23/2025 00:00 - 00:59,0,3,0,0,0,0,0,0,0,0,0,0,0,3
08/23/2025 01:00 - 01:59,0,2,0,0,0,0,0,0,0,0,0,0,0,2
08/23/2025 02:00 - 02:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/23/2025 03:00 - 03:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/23/2025 04:00 - 04:59,0,1,0,0,0,0,0,0,0,0,0,0,0,1
08/23/2025 05:00 - 05:59,0,1,0,0,0,0,0,0,0,0,0,0,0,1
08/23/2025 06:00 - 06:59,0,1,0,0,1,0,0,0,0,0,0,0,0,2
08/23/2025 07:00 - 07:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/23/2025 08:00 - 08:59,0,5,0,0,0,0,0,0,0,0,0,0,0,5
08/23/2025 09:00 - 09:59,0,9,0,0,1,1,0,0,0,0,0,0,0,11
08/23/2025 10:00 - 10:59,0,15,0,0,0,0,0,0,0,0,0,0,0,15
08/23/2025 11:00 - 11:59,0,10,0,0,1,0,0,0,0,0,0,0,0,11
08/23/2025 12:00 - 12:59,0,17,0,0,0,0,0,0,0,0,0,0,0,17
08/23/2025 13:00 - 13:59,0,17,0,0,0,0,0,0,0,0,0,0,0,17
08/23/2025 14:00 - 14:59,0,12,1,0,0,0,0,0,0,0,0,0,0,13
08/23/2025 15:00 - 15:59,0,15,1,0,1,0,0,0,0,0,0,0,0,17
08/23/2025 16:00 - 16:59,0,15,1,0,1,0,0,0,0,0,0,0,0,17
08/23/2025 17:00 - 17:59,0,14,2,0,0,0,0,0,0,0,0,0,0,16
08/23/2025 18:00 - 18:59,0,10,1,0,1,0,0,0,0,0,0,0,0,12
08/23/2025 19:00 - 19:59,0,9,3,0,0,0,0,0,0,0,0,0,0,12
08/23/2025 20:00 - 20:59,0,11,1,0,0,0,0,0,0,0,0,0,0,12
08/23/2025 21:00 - 21:59,0,13,0,0,0,0,0,0,0,0,0,0,0,13
08/23/2025 22:00 - 22:59,0,8,0,0,0,0,0,0,0,0,0,0,0,8
08/23/2025 23:00 - 23:59,0,2,0,0,0,0,0,0,0,0,0,0,0,2
08/24/2025 00:00 - 00:59,0,3,0,0,0,0,0,0,0,0,0,0,0,3
08/24/2025 01:00 - 01:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/24/2025 02:00 - 02:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/24/2025 03:00 - 03:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/24/2025 04:00 - 04:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/24/2025 05:00 - 05:59,0,2,0,0,0,0,0,0,0,0,0,0,0,2
08/24/2025 06:00 - 06:59,0,3,0,0,0,0,0,0,0,0,0,0,0,3
08/24/2025 07:00 - 07:59,0,5,0,0,0,0,0,0,0,0,0,0,0,5
08/24/2025 08:00 - 08:59,0,4,1,0,0,0,0,0,0,0,0,0,0,5
08/24/2025 09:00 - 09:59,1,18,1,0,0,0,0,0,0,0,0,0,0,20
08/24/2025 10:00 - 10:59,0,18,4,0,0,0,0,0,0,0,0,0,0,22
08/24/2025 11:00 - 11:59,0,13,1,0,0,0,0,0,0,0,0,0,0,14
08/24/2025 12:00 - 12:59,0,16,0,0,0,0,0,0,0,0,0,0,0,16
08/24/2025 13:00 - 13:59,0,13,0,0,0,1,0,0,0,0,0,0,0,14
08/24/2025 14:00 - 14:59,0,13,1,0,1,0,0,0,0,0,0,0,0,15
08/24/2025 15:00 - 15:59,0,13,4,0,1,0,1,0,0,0,0,0,0,19
08/24/2025 16:00 - 16:59,1,20,4,0,0,0,0,0,0,0,0,0,0,25
08/24/2025 17:00 - 17:59,0,11,3,0,0,1,0,0,0,0,0,0,0,15
08/24/2025 18:00 - 18:59,0,11,1,0,0,0,0,0,0,0,0,0,0,12
08/24/2025 19:00 - 19:59,0,7,0,0,1,0,0,0,0,0,0,0,0,8
08/24/2025 20:00 - 20:59,0,12,1,0,0,0,0,0,0,0,0,0,0,13
08/24/2025 21:00 - 21:59,0,6,0,0,0,0,0,0,0,0,0,0,0,6
08/24/2025 22:00 - 22:59,0,5,0,0,0,0,0,0,0,0,0,0,0,5
08/24/2025 23:00 - 23:59,0,1,0,0,0,0,0,0,0,0,0,0,0,1
08/25/2025 00:00 - 00:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/25/2025 01:00 - 01:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/25/2025 02:00 - 02:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/25/2025 03:00 - 03:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/25/2025 04:00 - 04:59,0,1,0,0,0,0,0,0,0,0,0,0,0,1
08/25/2025 05:00 - 05:59,0,1,0,0,0,0,0,0,0,0,0,0,0,1
08/25/2025 06:00 - 06:59,0,5,0,0,1,0,0,0,0,0,0,0,0,6
08/25/2025 07:00 - 07:59,0,6,0,0,1,0,0,0,0,0,0,0,0,7
08/25/2025 08:00 - 08:59,0,10,0,0,0,0,0,0,0,0,0,0,0,10
08/25/2025 09:00 - 09:59,0,9,1,0,1,2,0,0,0,0,0,0,0,13
08/25/2025 10:00 - 10:59,0,14,2,0,0,2,0,0,0,0,0,0,0,18
08/25/2025 11:00 - 11:59,0,4,2,0,0,0,0,0,0,0,0,0,0,6
08/25/2025 12:00 - 12:59,0,14,5,0,0,0,0,0,0,0,0,0,0,19
08/25/2025 13:00 - 13:59,0,11,2,0,0,0,0,0,0,0,0,0,0,13
08/25/2025 14:00 - 14:59,0,9,2,0,0,0,0,0,0,0,0,0,0,11
08/25/2025 15:00 - 15:59,0,18,1,0,1,0,0,0,0,0,0,0,0,20
08/25/2025 16:00 - 16:59,0,31,3,1,1,0,0,0,0,0,0,0,0,36
08/25/2025 17:00 - 17:59,0,23,2,0,3,0,0,0,0,0,0,0,0,28
08/25/2025 18:00 - 18:59,0,22,4,0,1,0,0,0,0,0,0,0,0,27
08/25/2025 19:00 - 19:59,0,8,0,0,1,0,0,0,0,0,0,0,0,9
08/25/2025 20:00 - 20:59,0,9,1,0,1,0,0,0,0,0,0,0,0,11
08/25/2025 21:00 - 21:59,0,6,2,0,0,0,0,0,0,0,0,0,0,8
08/25/2025 22:00 - 22:59,0,4,0,0,0,0,0,0,0,0,0,0,0,4
08/25/2025 23:00 - 23:59,0,2,0,0,0,0,0,0,0,0,0,0,0,2
08/26/2025 00:00 - 00:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/26/2025 01:00 - 01:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/26/2025 02:00 - 02:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/26/2025 03:00 - 03:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/26/2025 04:00 - 04:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/26/2025 05:00 - 05:59,0,5,0,0,0,0,0,0,0,0,0,0,0,5
08/26/2025 06:00 - 06:59,0,4,0,0,0,0,0,0,0,0,0,0,0,4
08/26/2025 07:00 - 07:59,0,9,2,0,2,0,0,0,0,0,0,0,0,13
08/26/2025 08:00 - 08:59,0,11,0,0,0,0,0,0,0,0,0,0,0,11
08/26/2025 09:00 - 09:59,0,6,0,0,1,0,0,0,0,0,0,0,0,7
08/26/2025 10:00 - 10:59,0,8,0,0,1,0,0,0,0,0,0,0,0,9
08/26/2025 11:00 - 11:59,0,12,0,1,0,0,0,0,0,0,0,0,0,13
08/26/2025 12:00 - 12:59,0,15,3,0,0,0,0,0,0,0,0,0,0,18
08/26/2025 13:00 - 13:59,0,10,1,0,1,0,0,0,0,0,0,0,0,12
08/26/2025 14:00 - 14:59,0,10,0,0,4,1,0,0,0,0,0,0,0,15
08/26/2025 15:00 - 15:59,0,25,2,0,1,0,0,0,0,0,0,0,0,28
08/26/2025 16:00 - 16:59,0,11,5,1,0,0,0,0,0,0,0,0,0,17
08/26/2025 17:00 - 17:59,0,18,0,0,0,0,0,0,0,0,0,0,0,18
08/26/2025 18:00 - 18:59,0,19,1,0,0,0,0,0,0,0,0,0,0,20
08/26/2025 19:00 - 19:59,0,11,0,0,0,0,0,0,0,0,0,0,0,11
08/26/2025 20:00 - 20:59,0,13,0,0,0,0,0,0,0,0,0,0,0,13
08/26/2025 21:00 - 21:59,0,3,0,0,0,0,0,0,0,0,0,0,0,3
08/26/2025 22:00 - 22:59,0,8,0,0,0,0,0,0,0,0,0,0,0,8
08/26/2025 23:00 - 23:59,0,1,0,0,0,0,0,0,0,0,0,0,0,1
08/27/2025 00:00 - 00:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/27/2025 01:00 - 01:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/27/2025 02:00 - 02:59,0,1,0,0,0,0,0,0,0,0,0,0,0,1
08/27/2025 03:00 - 03:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/27/2025 04:00 - 04:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/27/2025 05:00 - 05:59,0,3,0,0,1,0,0,0,0,0,0,0,0,4
08/27/2025 06:00 - 06:59,0,8,1,0,0,0,0,0,0,0,0,0,0,9
08/27/2025 07:00 - 07:59,0,8,0,1,2,0,0,0,0,0,0,0,0,11
08/27/2025 08:00 - 08:59,0,10,1,1,1,0,0,0,0,0,0,0,0,13
08/27/2025 09:00 - 09:59,0,5,1,0,1,0,0,0,0,0,0,0,0,7
08/27/2025 10:00 - 10:59,0,9,0,0,1,1,0,0,0,0,0,0,0,11
08/27/2025 11:00 - 11:59,0,12,0,0,2,0,0,0,0,0,0,0,0,14
08/27/2025 12:00 - 12:59,0,8,1,0,1,0,0,0,0,0,0,0,0,10
08/27/2025 13:00 - 13:59,1,8,3,0,2,0,0,0,0,0,0,0,0,14
08/27/2025 14:00 - 14:59,0,10,4,3,2,0,0,0,0,0,0,0,0,19
08/27/2025 15:00 - 15:59,1,15,1,0,1,0,0,0,0,0,0,0,0,18
08/27/2025 16:00 - 16:59,0,31,2,1,0,0,0,0,0,0,0,0,0,34
08/27/2025 17:00 - 17:59,1,22,1,0,0,0,0,0,0,0,0,0,0,24
08/27/2025 18:00 - 18:59,1,16,2,0,2,0,0,0,0,0,0,0,0,21
08/27/2025 19:00 - 19:59,1,13,2,0,0,0,0,0,0,0,0,0,0,16
08/27/2025 20:00 - 20:59,0,12,1,0,1,0,0,0,0,0,0,0,0,14
08/27/2025 21:00 - 21:59,0,6,1,0,1,0,0,0,0,0,0,0,0,8
08/27/2025 22:00 - 22:59,0,3,0,0,1,0,0,0,0,0,0,0,0,4
08/27/2025 23:00 - 23:59,0,0,1,0,0,0,0,0,0,0,0,0,0,1
08/28/2025 00:00 - 00:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/28/2025 01:00 - 01:59,0,2,0,0,0,0,0,0,0,0,0,0,0,2
08/28/2025 02:00 - 02:59,0,1,0,0,0,0,0,0,0,0,0,0,0,1
08/28/2025 03:00 - 03:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/28/2025 04:00 - 04:59,0,0,0,1,0,0,0,0,0,0,0,0,0,1
08/28/2025 05:00 - 05:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/28/2025 06:00 - 06:59,0,4,1,0,0,0,0,0,0,0,0,0,0,5
08/28/2025 07:00 - 07:59,2,4,0,0,0,0,0,0,0,0,0,0,0,6
08/28/2025 08:00 - 08:59,0,9,0,1,0,0,0,0,0,0,0,0,0,10
08/28/2025 09:00 - 09:59,1,12,0,0,0,1,0,0,0,0,0,0,0,14
08/28/2025 10:00 - 10:59,0,2,0,0,1,0,0,0,0,0,0,0,0,3
