"Unit Type:","PicoCount 2500 V2.41"
"Serial Number:","24071597"
"ID:",""
"Location:","5400 Douglas Dr N"
"Comments:","Behind McDonald's"
"Dwell:","90 ms"
"Measurements:","English"
"Start Date:","07/29/2025"
"Start Time:","00:00"
"Export Version:","Class V1.03"
"Scheme:","FHWA"
"Scheme ID:","1"
"Interval:","60 Min"
"Title:","Northbound Classes"
"Date/Time","Class #1","Class #2","Class #3","Class #4","Class #5","Class #6","Class #7","Class #8","Class #9","Class #10","Class #11","Class #12","Class #13","Total"
07/30/2025 22:00 - 22:59,0,5,0,0,0,0,0,0,0,0,0,0,0,5
07/30/2025 23:00 - 23:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07/31/2025 00:00 - 00:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07/31/2025 01:00 - 01:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07/31/2025 02:00 - 02:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07/31/2025 03:00 - 03:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07/31/2025 04:00 - 04:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07/31/2025 05:00 - 05:59,0,1,0,0,0,0,0,0,0,0,0,0,0,1
07/31/2025 06:00 - 06:59,0,1,1,0,0,0,0,0,0,0,0,0,0,2
07/31/2025 07:00 - 07:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07/31/2025 08:00 - 08:59,0,1,0,0,0,0,0,0,0,0,0,0,0,1
07/31/2025 09:00 - 09:59,0,3,0,0,1,0,0,0,0,0,0,0,0,4
07/31/2025 10:00 - 10:59,0,4,0,0,1,0,0,0,0,0,0,0,0,5
07/31/2025 11:00 - 11:59,0,9,1,0,1,0,0,0,0,0,0,0,0,11
07/31/2025 12:00 - 12:59,0,3,0,0,1,0,0,0,0,0,0,0,0,4
07/31/2025 13:00 - 13:59,0,7,0,0,2,0,0,0,0,0,0,0,0,9
07/31/2025 14:00 - 14:59,0,3,1,0,0,0,0,0,0,0,0,0,0,4
07/31/2025 15:00 - 15:59,0,8,0,0,2,0,0,0,0,0,0,0,0,10
07/31/2025 16:00 - 16:59,0,10,3,1,1,0,0,0,0,0,0,0,0,15
07/31/2025 17:00 - 17:59,0,7,1,0,0,0,0,0,0,0,0,0,0,8
07/31/2025 18:00 - 18:59,0,7,3,0,1,0,0,0,0,0,0,0,0,11
07/31/2025 19:00 - 19:59,0,5,1,0,0,0,0,0,0,0,0,0,0,6
07/31/2025 20:00 - 20:59,0,6,1,0,0,0,0,0,0,0,0,0,0,7
07/31/2025 21:00 - 21:59,0,5,1,0,0,0,0,0,0,0,0,0,0,6
07/31/2025 22:00 - 22:59,0,2,0,0,0,0,0,0,0,0,0,0,0,2
07/31/2025 23:00 - 23:59,0,0,1,0,0,0,0,0,0,0,0,0,0,1
08/01/2025 00:00 - 00:59,0,3,0,0,0,0,0,0,0,0,0,0,0,3
08/01/2025 01:00 - 01:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/01/2025 02:00 - 02:59,0,1,0,0,0,0,0,0,0,0,0,0,0,1
08/01/2025 03:00 - 03:59,0,0,1,0,0,0,0,0,0,0,0,0,0,1
08/01/2025 04:00 - 04:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/01/2025 05:00 - 05:59,0,1,0,0,0,0,0,0,0,0,0,0,0,1
08/01/2025 06:00 - 06:59,0,2,1,0,0,0,0,0,0,0,0,0,0,3
08/01/2025 07:00 - 07:59,0,0,1,0,0,0,0,0,0,0,0,0,0,1
08/01/2025 08:00 - 08:59,0,3,1,0,0,0,0,0,0,0,0,0,0,4
08/01/2025 09:00 - 09:59,0,1,0,0,1,0,0,0,0,0,0,0,0,2
08/01/2025 10:00 - 10:59,0,5,0,0,0,0,0,0,0,0,0,0,0,5
08/01/2025 11:00 - 11:59,0,1,0,0,0,0,0,0,0,0,0,0,0,1
08/01/2025 12:00 - 12:59,0,9,1,0,0,0,0,0,0,0,0,0,0,10
08/01/2025 13:00 - 13:59,0,6,0,0,0,0,0,0,0,0,0,0,0,6
08/01/2025 14:00 - 14:59,0,8,1,0,0,0,0,0,0,0,0,0,0,9
08/01/2025 15:00 - 15:59,0,8,1,0,2,0,0,0,0,0,0,0,0,11
08/01/2025 16:00 - 16:59,0,12,6,0,0,0,0,0,0,0,0,0,0,18
08/01/2025 17:00 - 17:59,0,5,1,0,2,0,0,0,0,0,0,0,0,8
08/01/2025 18:00 - 18:59,0,6,1,0,1,0,0,0,0,0,0,0,0,8
08/01/2025 19:00 - 19:59,0,12,0,0,1,0,0,0,0,0,0,0,0,13
08/01/2025 20:00 - 20:59,0,13,1,0,2,0,0,0,0,0,0,0,0,16
08/01/2025 21:00 - 21:59,0,4,0,0,0,0,0,0,0,0,0,0,0,4
08/01/2025 22:00 - 22:59,0,4,0,0,0,0,0,0,0,0,0,0,0,4
08/01/2025 23:00 - 23:59,0,3,0,0,0,0,0,0,0,0,0,0,0,3
08/02/2025 00:00 - 00:59,0,1,0,0,0,0,0,0,0,0,0,0,0,1
08/02/2025 01:00 - 01:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/02/2025 02:00 - 02:59,0,1,0,0,0,0,0,0,0,0,0,0,0,1
08/02/2025 03:00 - 03:59,0,0,0,0,1,0,0,0,0,0,0,0,0,1
08/02/2025 04:00 - 04:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/02/2025 05:00 - 05:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/02/2025 06:00 - 06:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/02/2025 07:00 - 07:59,0,0,0,0,1,0,0,0,0,0,0,0,0,1
08/02/2025 08:00 - 08:59,0,2,0,0,0,0,0,0,0,0,0,0,0,2
08/02/2025 09:00 - 09:59,0,3,0,0,0,0,0,0,0,0,0,0,0,3
08/02/2025 10:00 - 10:59,0,2,0,0,0,0,1,0,0,0,0,0,0,3
08/02/2025 11:00 - 11:59,0,4,1,0,0,0,0,0,0,0,0,0,0,5
08/02/2025 12:00 - 12:59,0,2,1,0,1,0,0,0,0,0,0,0,0,4
08/02/2025 13:00 - 13:59,0,2,1,0,1,0,0,0,0,0,0,0,0,4
08/02/2025 14:00 - 14:59,0,5,3,0,1,0,0,0,0,0,0,0,0,9
08/02/2025 15:00 - 15:59,0,5,4,0,0,0,1,0,0,0,0,0,0,10
08/02/2025 16:00 - 16:59,0,6,1,0,0,0,0,0,0,0,0,0,0,7
08/02/2025 17:00 - 17:59,0,5,0,0,2,0,0,0,0,0,0,0,0,7
08/02/2025 18:00 - 18:59,0,3,1,0,2,0,0,0,0,0,0,0,0,6
08/02/2025 19:00 - 19:59,0,13,0,0,0,0,0,0,0,0,0,0,0,13
08/02/2025 20:00 - 20:59,0,4,0,0,0,0,1,0,0,0,0,0,0,5
08/02/2025 21:00 - 21:59,0,2,1,0,0,0,0,0,0,0,0,0,0,3
08/02/2025 22:00 - 22:59,0,2,0,0,0,0,0,0,0,0,0,0,0,2
08/02/2025 23:00 - 23:59,0,4,0,0,0,0,0,0,0,0,0,0,0,4
08/03/2025 00:00 - 00:59,0,0,1,0,0,0,0,0,0,0,0,0,0,1
08/03/2025 01:00 - 01:59,0,1,0,0,0,0,0,0,0,0,0,0,0,1
08/03/2025 02:00 - 02:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/03/2025 03:00 - 03:59,0,1,0,0,0,0,0,0,0,0,0,0,0,1
08/03/2025 04:00 - 04:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/03/2025 05:00 - 05:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/03/2025 06:00 - 06:59,0,1,0,0,0,0,0,0,0,0,0,0,0,1
08/03/2025 07:00 - 07:59,0,0,0,0,0,0,1,0,0,0,0,0,0,1
08/03/2025 08:00 - 08:59,0,1,0,0,0,0,0,0,0,0,0,0,0,1
08/03/2025 09:00 - 09:59,0,9,0,0,0,0,0,0,0,0,0,0,0,9
08/03/2025 10:00 - 10:59,0,4,0,0,2,0,0,0,0,0,0,0,0,6
08/03/2025 11:00 - 11:59,0,4,0,0,1,0,0,0,0,0,0,0,0,5
08/03/2025 12:00 - 12:59,0,6,0,0,2,0,0,0,0,0,0,0,0,8
08/03/2025 13:00 - 13:59,0,6,0,0,0,0,0,0,0,0,0,0,0,6
08/03/2025 14:00 - 14:59,0,8,1,0,0,0,0,0,0,0,0,0,0,9
08/03/2025 15:00 - 15:59,0,2,0,0,1,0,0,0,0,0,0,0,0,3
08/03/2025 16:00 - 16:59,0,7,0,0,0,0,0,0,0,0,0,0,0,7
08/03/2025 17:00 - 17:59,0,5,0,0,2,0,0,0,0,0,0,0,0,7
08/03/2025 18:00 - 18:59,0,4,0,0,1,0,0,0,0,0,0,0,0,5
08/03/2025 19:00 - 19:59,0,5,0,0,0,0,0,0,0,0,0,0,0,5
08/03/2025 20:00 - 20:59,0,6,0,0,0,0,0,0,0,0,0,0,0,6
08/03/2025 21:00 - 21:59,0,0,3,0,1,0,0,0,0,0,0,0,0,4
08/03/2025 22:00 - 22:59,0,3,0,0,0,0,0,0,0,0,0,0,0,3
08/03/2025 23:00 - 23:59,0,3,0,0,0,0,0,0,0,0,0,0,0,3
08/04/2025 00:00 - 00:59,0,1,0,0,0,0,0,0,0,0,0,0,0,1
08/04/2025 01:00 - 01:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/04/2025 02:00 - 02:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/04/2025 03:00 - 03:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/04/2025 04:00 - 04:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/04/2025 05:00 - 05:59,0,1,0,0,0,0,0,0,0,0,0,0,0,1
08/04/2025 06:00 - 06:59,0,3,1,0,0,0,0,0,0,0,0,0,0,4
08/04/2025 07:00 - 07:59,0,3,0,0,0,0,0,0,0,0,0,0,0,3
08/04/2025 08:00 - 08:59,0,2,0,0,0,0,0,0,0,0,0,0,0,2
08/04/2025 09:00 - 09:59,0,1,0,0,0,0,0,0,0,0,0,0,0,1
08/04/2025 10:00 - 10:59,0,3,0,0,0,0,0,0,0,0,0,0,0,3
08/04/2025 11:00 - 11:59,0,5,0,0,1,0,0,0,0,0,0,0,0,6
08/04/2025 12:00 - 12:59,0,8,0,0,1,0,0,0,0,0,0,0,0,9
08/04/2025 13:00 - 13:59,0,5,0,0,0,0,0,0,0,0,0,0,0,5
08/04/2025 14:00 - 14:59,0,5,1,0,1,0,0,0,0,0,0,0,0,7
08/04/2025 15:00 - 15:59,0,14,2,0,3,0,0,0,0,0,0,0,0,19
08/04/2025 16:00 - 16:59,0,1,1,0,1,0,0,0,0,0,0,0,0,3
08/04/2025 17:00 - 17:59,0,10,0,0,0,0,0,0,0,0,0,0,0,10
08/04/2025 18:00 - 18:59,0,4,3,0,0,0,0,0,0,0,0,0,0,7
08/04/2025 19:00 - 19:59,0,3,0,0,0,0,0,0,0,0,0,0,0,3
08/04/2025 20:00 - 20:59,0,3,1,0,0,0,0,0,0,0,0,0,0,4
08/04/2025 21:00 - 21:59,0,6,1,0,2,0,0,0,0,0,0,0,0,9
08/04/2025 22:00 - 22:59,0,1,0,0,0,0,0,0,0,0,0,0,0,1
08/04/2025 23:00 - 23:59,0,2,0,0,0,0,0,0,0,0,0,0,0,2
08/05/2025 00:00 - 00:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/05/2025 01:00 - 01:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/05/2025 02:00 - 02:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/05/2025 03:00 - 03:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/05/2025 04:00 - 04:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/05/2025 05:00 - 05:59,0,1,0,0,0,0,0,0,0,0,0,0,0,1
08/05/2025 06:00 - 06:59,0,1,1,0,0,0,0,0,0,0,0,0,0,2
08/05/2025 07:00 - 07:59,0,2,0,0,0,0,0,0,0,0,0,0,0,2
08/05/2025 08:00 - 08:59,0,3,0,0,0,0,0,0,0,0,0,0,0,3
08/05/2025 09:00 - 09:59,0,1,0,0,0,0,0,0,0,0,0,0,0,1
08/05/2025 10:00 - 10:59,0,5,0,0,1,0,0,0,0,0,0,0,0,6
08/05/2025 11:00 - 11:59,0,2,0,0,3,2,0,0,0,0,0,0,0,7
08/05/2025 12:00 - 12:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/05/2025 13:00 - 13:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/05/2025 14:00 - 14:59,0,0,0,2,1,0,0,0,0,0,0,0,0,3
08/05/2025 15:00 - 15:59,0,0,0,5,3,0,0,0,0,0,0,0,0,8
08/05/2025 16:00 - 16:59,0,0,0,1,9,0,0,0,0,0,0,0,0,10
08/05/2025 17:00 - 17:59,0,0,0,1,10,0,0,0,0,0,0,0,0,11
08/05/2025 18:00 - 18:59,0,0,0,1,6,0,0,0,0,0,0,0,0,7
08/05/2025 19:00 - 19:59,0,1,0,1,10,0,0,0,0,0,0,0,0,12
08/05/2025 20:00 - 20:59,0,1,1,0,7,0,0,0,0,0,0,0,0,9
08/05/2025 21:00 - 21:59,0,0,0,0,4,0,0,0,0,0,0,0,0,4
08/05/2025 22:00 - 22:59,0,0,1,0,1,0,0,0,0,0,0,0,0,2
08/05/2025 23:00 - 23:59,0,0,0,0,1,0,0,0,0,0,0,0,0,1
08/06/2025 00:00 - 00:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/06/2025 01:00 - 01:59,0,0,0,0,1,0,0,0,0,0,0,0,0,1
08/06/2025 02:00 - 02:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/06/2025 03:00 - 03:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/06/2025 04:00 - 04:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/06/2025 05:00 - 05:59,0,0,0,0,1,0,0,0,0,0,0,0,0,1
08/06/2025 06:00 - 06:59,0,0,0,1,3,0,0,0,0,0,0,0,0,4
08/06/2025 07:00 - 07:59,0,0,0,1,1,0,0,0,0,0,0,0,0,2
08/06/2025 08:00 - 08:59,0,1,1,1,2,0,0,0,0,0,0,0,0,5
08/06/2025 09:00 - 09:59,0,0,0,0,1,0,1,0,0,0,0,0,0,2
08/06/2025 10:00 - 10:59,0,0,1,0,1,0,0,0,0,0,0,0,0,2
08/06/2025 11:00 - 11:59,0,0,1,0,7,1,0,0,0,0,0,0,0,9
08/06/2025 12:00 - 12:59,0,1,1,1,4,0,0,0,0,0,0,0,0,7
08/06/2025 13:00 - 13:59,0,0,1,0,6,0,0,0,0,0,0,0,0,7
08/06/2025 14:00 - 14:59,0,0,0,0,9,1,1,0,0,0,0,0,0,11
08/06/2025 15:00 - 15:59,0,0,3,0,7,0,0,0,0,0,0,0,0,10
08/06/2025 16:00 - 16:59,0,0,2,0,5,0,0,0,0,0,0,0,0,7
08/06/2025 17:00 - 17:59,0,0,4,0,11,0,0,0,0,0,0,0,0,15
08/06/2025 18:00 - 18:59,0,0,3,0,3,0,1,0,0,0,0,0,0,7
08/06/2025 19:00 - 19:59,0,0,2,1,4,0,0,0,0,0,0,0,0,7
08/06/2025 20:00 - 20:59,0,0,3,0,7,0,0,0,0,0,0,0,0,10
08/06/2025 21:00 - 21:59,0,0,2,0,3,0,0,0,0,0,0,0,0,5
08/06/2025 22:00 - 22:59,0,1,1,0,4,0,0,0,0,0,0,0,0,6
08/06/2025 23:00 - 23:59,0,0,0,0,1,0,0,0,0,0,0,0,0,1
08/07/2025 00:00 - 00:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/07/2025 01:00 - 01:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/07/2025 02:00 - 02:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/07/2025 03:00 - 03:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/07/2025 04:00 - 04:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/07/2025 05:00 - 05:59,0,0,2,0,0,0,0,0,0,0,0,0,0,2
08/07/2025 06:00 - 06:59,0,0,0,0,3,0,0,0,0,0,0,0,0,3
08/07/2025 07:00 - 07:59,1,0,1,1,0,0,1,0,0,0,0,0,0,4
08/07/2025 08:00 - 08:59,0,0,0,1,3,1,0,0,0,0,0,0,0,5
08/07/2025 09:00 - 09:59,0,0,0,1,2,0,0,0,0,0,0,0,0,3
08/07/2025 10:00 - 10:59,0,0,2,0,1,0,2,0,0,0,0,0,0,5
08/07/2025 11:00 - 11:59,0,0,3,0,3,0,1,0,0,0,0,0,0,7
08/07/2025 12:00 - 12:59,0,1,1,0,4,0,0,0,0,0,0,0,0,6
08/07/2025 13:00 - 13:59,0,0,2,0,4,0,0,1,0,0,0,0,0,7
08/07/2025 14:00 - 14:59,0,0,4,0,5,0,0,0,0,0,0,0,0,9
08/07/2025 15:00 - 15:59,0,1,6,0,9,1,0,0,0,0,0,0,0,17
08/07/2025 16:00 - 16:59,2,2,8,0,5,0,0,0,0,0,0,0,0,17
08/07/2025 17:00 - 17:59,0,0,6,2,6,0,0,0,0,0,0,0,0,14
08/07/2025 18:00 - 18:59,0,1,1,0,6,0,0,0,0,0,0,0,0,8
08/07/2025 19:00 - 19:59,0,1,1,0,3,0,0,0,0,0,0,0,0,5
08/07/2025 20:00 - 20:59,0,1,4,0,2,0,0,0,0,0,0,0,0,7
08/07/2025 21:00 - 21:59,0,0,2,0,2,0,0,0,0,0,0,0,0,4
08/07/2025 22:00 - 22:59,0,1,2,0,0,0,0,0,0,0,0,0,0,3
08/07/2025 23:00 - 23:59,0,0,2,0,0,0,0,0,0,0,0,0,0,2
08/08/2025 00:00 - 00:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/08/2025 01:00 - 01:59,0,0,2,0,0,0,0,0,0,0,0,0,0,2
08/08/2025 02:00 - 02:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/08/2025 03:00 - 03:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/08/2025 04:00 - 04:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/08/2025 05:00 - 05:59,0,0,0,0,1,0,0,0,0,0,0,0,0,1
08/08/2025 06:00 - 06:59,0,0,1,0,2,0,0,0,0,0,0,0,0,3
08/08/2025 07:00 - 07:59,0,1,2,0,1,0,0,0,0,0,0,0,0,4
08/08/2025 08:00 - 08:59,0,1,2,0,2,0,0,0,0,0,0,0,0,5
08/08/2025 09:00 - 09:59,0,1,1,0,1,0,0,0,0,0,0,0,0,3
08/08/2025 10:00 - 10:59,0,0,5,0,2,1,0,0,0,0,0,0,0,8
08/08/2025 11:00 - 11:59,0,0,1,0,1,0,0,0,0,0,0,0,0,2
08/08/2025 12:00 - 12:59,0,0,4,0,4,0,0,0,0,0,0,0,0,8
08/08/2025 13:00 - 13:59,0,0,5,0,3,0,0,0,0,0,0,0,0,8
08/08/2025 14:00 - 14:59,0,0,3,0,5,0,0,0,0,0,0,0,0,8
08/08/2025 15:00 - 15:59,0,0,3,1,4,0,0,0,0,0,0,0,0,8
08/08/2025 16:00 - 16:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/08/2025 17:00 - 17:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/08/2025 18:00 - 18:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/08/2025 19:00 - 19:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/08/2025 20:00 - 20:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/08/2025 21:00 - 21:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/08/2025 22:00 - 22:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/08/2025 23:00 - 23:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/09/2025 00:00 - 00:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/09/2025 01:00 - 01:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/09/2025 02:00 - 02:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/09/2025 03:00 - 03:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/09/2025 04:00 - 04:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/09/2025 05:00 - 05:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/09/2025 06:00 - 06:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/09/2025 07:00 - 07:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/09/2025 08:00 - 08:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/09/2025 09:00 - 09:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/09/2025 10:00 - 10:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/09/2025 11:00 - 11:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/09/2025 12:00 - 12:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/09/2025 13:00 - 13:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/09/2025 14:00 - 14:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/09/2025 15:00 - 15:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/09/2025 16:00 - 16:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/09/2025 17:00 - 17:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/09/2025 18:00 - 18:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/09/2025 19:00 - 19:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/09/2025 20:00 - 20:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/09/2025 21:00 - 21:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/09/2025 22:00 - 22:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/09/2025 23:00 - 23:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/10/2025 00:00 - 00:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/10/2025 01:00 - 01:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/10/2025 02:00 - 02:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/10/2025 03:00 - 03:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/10/2025 04:00 - 04:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/10/2025 05:00 - 05:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/10/2025 06:00 - 06:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/10/2025 07:00 - 07:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/10/2025 08:00 - 08:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/10/2025 09:00 - 09:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/10/2025 10:00 - 10:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/10/2025 11:00 - 11:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/10/2025 12:00 - 12:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/10/2025 13:00 - 13:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/10/2025 14:00 - 14:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/10/2025 15:00 - 15:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/10/2025 16:00 - 16:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/10/2025 17:00 - 17:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/10/2025 18:00 - 18:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/10/2025 19:00 - 19:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/10/2025 20:00 - 20:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/10/2025 21:00 - 21:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/10/2025 22:00 - 22:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/10/2025 23:00 - 23:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
